ID,Aat2,Acon1,Acon5,Acy1,Anna,Baez,Baron_harkonnen,Beatles,Bertha,Black_Crow,Blackbird,Blue_Jay,C1,C147,C204,C21,C216_pigtail,C234,C259,C278_PT,C294,C316,C334,C367,C368_PigTail,C485,C487_PigTail,C536,Cactus_tree,Carey,Carnival,Cool_water,Coyote,Darwi_Odrade,Daytripper,Deadpool,Diamond_Joe,Emma_Frost,G3pdh1,Glass_onion_v2,Handy_dandy,Harvest,Heartland,i-109,i-113,i-114,i-120_PigTail,i-126,i-127,i-132,i-135,i129,Imagine,Jackstraw_PigTail,Jam_session,Jericho,Jerry-Garcia,Jokerman,Jude,Julia,Kitty_Pryde,Maggie_mae,Majesty,Miles_teg,Million_miles,Monkey,Mozambique,Neil_Young,Nettie_Moore,Pam,Percy,Pgm1,Piggies,Psylocke,Queen_jane,Ramble,red_ant,Sam_Stonev2,Seastones,Sinv-25,Sinv12,Siona,Sol-11,Sol-18,Sol-20,Sol-42f,Sol-49,Sol-6,Sol-J1,Sol-M2,Sol-M3,Starr,st_stephen,Sun_King,sunrise,Sway,Taxman,Tombstone_blues,Trouble,Tweedy,Walrus,Weight,Wigwam,Workingman_Blues,Yellow_submarine
65,0,NA,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,NA,0,1,NA,0,0,0,1,0,1,0,1,1,0,0,NA,1,NA,0,0,0,0,0,1,1,1,1,NA,NA,0,0,0,1,0,0,0,0,0,1,NA,0,1,0,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,NA,NA,0,NA,NA,1,0
66,0,NA,0,0,0,1,NA,0,0,1,0,0,1,0,0,0,1,0,0,0,1,NA,0,0,0,1,NA,1,NA,1,0,NA,1,NA,0,NA,NA,0,0,1,NA,1,0,1,0,0,NA,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,1,NA,1,1,0,NA,0,NA,NA,0,NA,0,1,0,0,0,NA,1,0,1,1,1,0,1,1,1,0,0,NA,1,0,0,1,NA,NA,NA,0,NA,1,0
67,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,NA,0,NA,0,NA,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,NA,NA,NA,0,NA,1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,NA,0,1,1,0,1,NA,1,NA,NA,0,0
68,0,NA,1,0,1,1,NA,0,NA,NA,1,0,NA,1,0,0,NA,0,NA,1,0,NA,NA,NA,NA,1,NA,1,0,1,NA,0,1,NA,1,NA,NA,NA,1,0,NA,0,NA,1,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,NA,NA,0,1,1,NA,1,0,NA,0,0,1,NA,NA,1,NA,NA,NA,0,1,NA,0,NA,0,0,0,NA,1,NA,NA,0,NA
69,0,NA,0,0,1,1,NA,0,1,1,1,1,NA,0,1,1,1,1,NA,0,1,NA,0,0,NA,1,NA,1,NA,0,0,0,1,NA,1,NA,NA,0,1,1,NA,0,0,1,1,0,NA,1,NA,NA,1,0,0,0,1,1,0,NA,NA,0,0,0,NA,NA,NA,0,NA,1,0,0,NA,1,NA,NA,NA,0,1,0,1,0,0,0,0,0,1,1,1,1,NA,NA,1,1,0,0,1,1,0,0,NA,NA,0,NA,NA,1,0
70,0,NA,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,NA,1,0,1,0,0,0,NA,1,NA,1,0,1,0,0,0,NA,1,1,1,0,1,NA,NA,0,0,0,1,1,0,1,NA,NA,0,0,0,NA,NA,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,1,1,1,0,0,NA,NA,0,1,1,1,0,0,1,NA,0,0,NA,0,0,0,1,NA,0,0,NA,NA,0,0
72,0,NA,1,0,NA,1,NA,0,NA,NA,0,1,NA,1,0,0,0,1,0,0,0,NA,NA,0,NA,1,NA,0,0,1,0,0,0,NA,1,NA,0,NA,0,0,NA,1,0,1,NA,0,NA,0,NA,NA,1,0,0,1,0,NA,1,NA,0,0,1,0,NA,0,NA,0,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,1,1,NA,0,NA,NA,NA,0,0,NA,1,1,NA,1,NA,0,NA,0,NA,1,NA
73,0,NA,0,0,0,0,NA,0,0,0,0,0,1,1,NA,1,1,1,0,0,1,0,1,0,0,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,NA,0,0,NA,0,0
74,0,NA,0,0,0,1,NA,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,NA,1,NA,0,0,0,0,NA,0,NA,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,0,0,1,0,1,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,NA,0,0
75,0,NA,0,0,1,1,NA,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,NA,1,NA,1,0,NA,1,NA,0,NA,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,NA,NA,NA,0,NA,1,1,1,0,0,0,NA,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,NA,NA,0,0,NA,0,1
76,0,NA,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,NA,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,NA,NA,NA,0,NA,0,1,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0
77,0,NA,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,NA,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,NA,1,NA,0,NA,0,1,0,0,0,NA,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,NA,1,1,0,0,0
78,0,NA,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,NA,1,NA,0,0,NA,0,NA,0,NA,1,0,NA,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,NA,NA,1,1,1,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,NA,0,0
79,0,NA,0,1,0,1,NA,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,NA,1,0,NA,0,1,0,NA,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,0,NA,0,1,1,1,0,0,NA,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,NA,0,0,NA,1,0
80,0,NA,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,NA,0,1,NA,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,0,0,0,1,0,1,0,NA,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,NA,1,1,NA,1,0
81,0,NA,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,NA,1,NA,0,1,0,0,NA,0,NA,1,1,0,1,0,1,1,0,0,1,NA,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,NA,0,NA,0,NA,1,1,1,0,NA,NA,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1
82,0,NA,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,NA,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,NA,1,0,1,NA,NA,NA,1,NA,1,1,1,1,0,NA,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,NA,0,1
83,0,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,NA,1,0,1,1,0,0,NA,0,NA,0,1,0,1,1,1,0,1,1,0,NA,0,NA,0,0,1,0,1,1,1,0,0,0,0,0,0,NA,0,NA,0,NA,1,1,0,0,0,NA,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,NA,0,NA,0,0,0,0,1,1,0,0,NA,1,0,NA,1,0
85,0,NA,1,0,1,0,NA,0,NA,NA,0,0,NA,0,NA,1,0,0,0,0,0,NA,NA,1,NA,1,NA,1,NA,1,1,0,0,NA,0,NA,NA,0,0,0,NA,0,0,1,1,0,0,0,0,NA,0,0,0,1,0,0,NA,0,1,NA,0,0,NA,NA,NA,0,NA,0,NA,1,0,1,0,NA,0,NA,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1,0,NA,0,1,0,0,NA,NA,0,0,NA,1,NA
86,0,NA,0,0,1,1,0,0,0,1,1,0,NA,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,NA,0,0,1,0,1,0,0,1,0,0,NA,0,1,0,1,0,0,0,0,1,1,1,NA,1,1,0,NA,NA,0,0,NA,1,1,1,0,0,NA,NA,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,NA,0,1,NA,0,0
87,0,NA,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,0,1,NA,1,NA,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,NA,NA,1,1,0,1,1,1,1,0,1,NA,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,NA,0,1
88,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,NA,0,NA,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,NA,0,NA,1,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,0,0
89,0,NA,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,NA,1,NA,0,1,1,0,1,1,1,0,1,1,0,1,NA,1,0,0,0,0,0,1,0,0,0,1,1,0,NA,0,NA,0,NA,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1
90,0,NA,0,0,1,0,0,0,1,1,0,0,NA,1,0,0,0,1,0,0,1,0,0,0,1,1,NA,1,1,0,0,0,0,1,0,NA,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,NA,NA,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,NA,NA,1,0
93,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,NA,0,0,NA,1,NA,0,NA,0,0,0,0,0,0,0,1,1,1,NA,1,1,1,1,0,0,1,1,1,0,0,NA,0,0,1,NA,NA,NA,1,NA,0,1,1,0,0,NA,NA,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,NA,0,0,NA,0,0
94,0,NA,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,NA,0,1,1,1,0,1,NA,1,NA,0,0,1,1,0,1,0,1,1,1,NA,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,NA,0,NA,1,NA,1,0,1,1,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,NA,0,1
95,0,NA,1,0,1,0,0,0,0,1,0,0,NA,0,0,1,1,1,1,1,0,1,0,0,1,0,NA,1,0,1,0,0,0,1,0,NA,0,1,1,0,0,1,0,1,1,1,NA,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,NA,0,NA,0,NA,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,NA,1,1
96,0,NA,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,NA,0,1,NA,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,NA,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,NA,0,0
98,1,NA,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,NA,NA,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,NA,1,0,NA,0,0,0,0
99,0,NA,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,NA,NA,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,NA,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,NA,0,1,1,NA,0,NA,NA,0,0,0,0
100,0,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,NA,NA,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,NA,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,NA,1,NA,NA,0,0,1,0
102,0,NA,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,NA,0,0,1,1,1,NA,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,NA,NA,0,0,0,0
103,0,NA,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,NA,NA,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,NA,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,NA,1,NA,0,0,0,0,1
104,0,NA,0,0,1,0,NA,0,1,0,0,1,NA,0,0,0,1,1,0,0,0,1,0,0,0,1,NA,0,NA,1,0,0,NA,NA,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,NA,0,1,0,1,1,0,0,NA,0,1,0,1,NA,1,1,0,0,0,1,1,0,0,1,NA,0,0,1,1,0,1,NA,NA,0,1,NA,1,0,0,1,0,1,NA,1,NA,1,0,0,0,0
105,1,NA,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,NA,NA,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,NA,0,NA,0,1,1,1,0,0,0,0,0,1,0,0,0,1,NA,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,NA,0,0,1,0,NA,1,NA,NA,1,0,1,0
106,0,NA,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,NA,1,1,1,1,NA,NA,0,0,0,1,0,0,0,1,1,0,NA,1,NA,1,NA,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,NA,1,1,0,1,0,0,0,1,1,1,0,0,0,NA,0,1,0,1,1,NA,0,1,0,0,0,1,1,1,NA,1,NA,1,0,0,0,0
107,0,NA,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,NA,0,1,0,0,1,1,0,NA,0,1,1,1,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,1,NA,1,NA,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,NA,1,1,0,1,1,1,0,0,1,1,0,0,0,NA,0,1,1,1,0,NA,1,1,1,1,1,0,1,1,NA,0,NA,NA,0,1,1,0
108,0,NA,0,NA,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,NA,0,0,0,0,NA,NA,0,0,1,1,0,1,0,1,1,1,NA,1,NA,1,NA,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,NA,0,0,0,NA,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,0,1,1,1,0,NA,0,0,0,0,0,0,1,0,NA,0,NA,1,0,0,0,0
111,0,NA,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1
112,0,NA,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,NA,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,NA,0,0,1,0,1,1,0,0,0,1,0
113,1,NA,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0
114,0,NA,0,0,1,1,NA,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,NA,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,NA,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,NA,0,1,0,0,1
115,0,NA,1,0,0,0,NA,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,NA,1,0,1,1,0,NA,NA,0,0,0,NA,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,0,1,0,1,1,NA,1,NA,0,0,1,0,1,0,NA,1,NA,1,1,0,0,0,0,NA,0,0,0,1,0,0,0,NA,1,0,0,1,NA,0,0,1,0,0,0,NA,1,1,0,0,0,NA,1,NA,0,1,NA
116,0,NA,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1
117,0,NA,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,NA,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,NA,0,0,1,1,1,0,1,NA,1,0,NA,0,0,0,1,1,1,1,0,0,1,0,1,1,0
118,0,NA,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,NA,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1
119,1,NA,0,0,0,0,0,0,NA,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,NA,0,NA,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NA,1,1,1,1,1,1,0,1,0,1,0,NA,1,0,0,0,0,NA,1,1,1,0,0,NA,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0
120,1,NA,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,NA,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,NA,1,NA,1,NA,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,NA,0,1,1,1,1,NA,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
122,1,NA,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,NA,0,1,1,1,0,1,NA,0,0,0,NA,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,NA,1,0,0,1,1,1,1,1,1,1,0,0,NA,NA,1,1,0,1,0,NA,0,0,0,1,0,0,0,0,0,0,1,NA,1,1,0,0,1,NA,0,0,NA,1,NA
123,0,NA,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,NA,1,1,0,1,0,0,NA,0,NA,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,NA,1,1,1,NA,0,0,NA,0,NA,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,NA,1,1,0,0,1,0,1,0,NA,1,0
124,0,NA,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,NA,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,NA,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
125,0,NA,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,NA,0,0,0,0,1,0,NA,0,0,0,0,1,0,0,1,NA,1,1,0,1,0,0,NA,1,0,0,1,1,NA,0,0,0,0,1,NA,1,NA,NA,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,NA,0,0,1,1,1,0,0,1,1,1,0,NA,1,1,0,0,0,0,0,1,NA,0,0
126,0,NA,0,0,1,0,NA,0,0,1,1,1,NA,0,1,0,0,0,1,0,1,1,0,1,1,0,NA,1,NA,0,NA,1,0,NA,1,NA,0,NA,0,0,NA,1,NA,1,1,1,NA,0,1,NA,0,0,0,1,NA,1,NA,1,1,0,0,1,0,NA,NA,1,0,0,0,1,0,0,0,NA,0,0,1,1,1,1,0,NA,1,0,1,0,1,1,1,0,1,1,0,NA,0,0,0,0,NA,1,0,0,NA,1,NA
127,0,NA,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,NA,0,0,1,1,1,1,1,NA,1,1,NA,0,0,0,1,1,0,0,0,1,1,0,1,0,0
128,0,NA,0,0,0,0,0,0,1,1,0,NA,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,NA,0,NA,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,NA,0,0,1,0,1,NA,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,NA,0,1,0,1,1,1,0,0,NA,1,1
129,0,NA,1,0,1,0,NA,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,NA,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,NA,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,NA,1,1,0,0,0,NA,0,0,NA,0,1
130,1,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
131,0,NA,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,NA,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
132,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,NA,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,NA,1,NA,0,NA,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,NA,1,1,1,0,1,NA,1,1,0,0,0,0,1,0,0,1,0,1,0,NA,1,0
